'0','V_TEMP','Température'
'1','V_HUM','Humidité'
'2','V_LIGHT','Relais'
'3','V_DIMMER','Dimmer'
'4','V_PRESSURE','Pression'
'5','V_FORECAST','Prévision'
'6','V_RAIN','Niveau de pluie'
'7','V_RAINRATE','Débit de pluie'
'8','V_WIND','Vitesse de vent'
'9','V_GUST','Rafale de vent'
'10','V_DIRECTION','Direction du vent'
'11','V_UV','UV'
'12','V_WEIGHT','Poids'
'13','V_DISTANCE','Distance'
'14','V_IMPEDANCE','Impédance'
'15','V_ARMED','Sécurité activée'
'16','V_TRIPPED','Activation'
'17','V_WATT','Puissance'
'18','V_KWH','KWh'
'19','V_SCENE_ON','Activation Scène'
'20','V_SCENE_OFF','Désactivation Scène'
'21','V_HEATER','Mode de chauffage'
'22','V_HEATER_SW','Radiateur'
'23','V_LIGHT_LEVEL','Niveau de Lumière'
'24','V_VAR1','Variable1'
'25','V_VAR2','Variable2'
'26','V_VAR3','Variable3'
'27','V_VAR4','Variable4'
'28','V_VAR5','Virtuel'
'29','V_UP','Lever'
'30','V_DOWN','Descente'
'31','V_STOP','Arrêt'
'32','V_IR_SEND','Envoi IR'
'33','V_IR_RECEIVE','Réception IR'
'34','V_FLOW','Débit Eau'
'35','V_VOLUME','Volume Eau'
'36','V_LOCK_STATUS','Verrou'
'37','V_DUST_LEVEL','Poussière'
'38','V_VOLTAGE','Voltage'
'39','V_CURRENT','Courant'
